Product,Qty,Size,Date,Price
Great Value Large White Eggs 12 ct,1,12 ct,03/10/2026,$3.48
Great Value 2% Reduced Fat Milk 1 gal,1,1 gal,03/10/2026,$3.52
Freshness Guaranteed Boneless Skinless Chicken Breast 2 lb,1,2 lb,03/10/2026,$6.98
Great Value Long Grain White Rice 5 lb,1,5 lb,03/10/2026,$3.84
Great Value White Bread 20 oz,1,20 oz,03/10/2026,$1.18
Fresh Spinach Bag 10 oz,1,10 oz,03/10/2026,$2.47
Bananas each,6,,03/10/2026,$0.27
Great Value Plain Greek Yogurt 32 oz,1,32 oz,03/10/2026,$3.97
Great Value Sharp Cheddar Cheese Block 8 oz,1,8 oz,03/10/2026,$2.98
Great Value Spaghetti Pasta 16 oz,2,16 oz,03/10/2026,$1.18
Great Value Tomato Sauce 15 oz,3,15 oz,03/10/2026,$0.78
Quaker Old Fashioned Oatmeal 18 oz,1,18 oz,03/10/2026,$4.28
Great Value Sweet Cream Unsalted Butter 16 oz,1,16 oz,03/10/2026,$3.97
StarKist Chunk Light Tuna in Water 5 oz,4,5 oz,03/10/2026,$1.00
Great Value Frozen Mixed Berries 12 oz,1,12 oz,03/10/2026,$3.47
Yellow Onion each,3,,03/10/2026,$0.88
Fresh Garlic Head,1,,03/10/2026,$0.50
Great Value Extra Virgin Olive Oil 17 oz,1,17 oz,03/10/2026,$4.47
Green Bell Pepper each,3,,03/10/2026,$0.78
Baby Carrots 1 lb bag,2,1 lb,03/10/2026,$1.48
